,pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,vx0,vy0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name
3572,CH,87.3,-2.384,5.8842,-1.4731,-0.0601,7.6134,-127.0426,-18.0574,23.2406,-31.7217,89.443,1668.0,7.369,Changeup
3573,FT,92.5,-2.3576,5.9958,-1.5282,0.6028,5.652,-134.7531,-20.2913,27.4135,-23.7937,94.079,2017.0,7.012,2-Seam Fastball
3574,CU,79.4,-2.4129,5.8614,1.3508,-0.6859,5.4394,-115.4913,10.8005,21.162,-38.4059,78.461,2714.0,5.615,Curveball
3575,FT,94.2,-2.267,5.9115,-1.1564,0.97,5.1232,-137.3589,-15.92,26.7856,-19.405,95.477,2079.0,6.648,2-Seam Fastball
3576,CU,81.2,-2.2567,5.8809,1.1465,-0.6538,4.7013,-118.2992,10.1298,21.0514,-38.3255,82.198,2653.0,6.744,Curveball
3577,CH,87.0,-2.282,5.9391,-1.4266,0.1371,7.5469,-126.7503,-17.406,23.8396,-29.9746,89.008,1734.0,7.29,Changeup
3578,FF,94.0,-2.3858,5.9021,-0.8102,1.1755,7.7417,-136.6731,-11.8857,28.574,-16.4095,94.595,2081.0,6.566,4-Seam Fastball
3579,FT,93.6,-2.3703,5.9065,-1.361,0.8746,6.4165,-136.2388,-18.5843,28.3218,-20.094,94.617,2033.0,6.747,2-Seam Fastball
3580,FF,93.8,-2.3889,5.9684,-0.9082,1.2161,3.5869,-136.5964,-12.3087,29.296,-15.864,94.722,2039.0,6.726,4-Seam Fastball
3581,CU,79.0,-2.3317,5.9251,1.0733,-0.7552,3.9225,-114.9663,8.5772,22.202,-38.9965,78.298,2635.0,5.884,Curveball
3582,CU,79.1,-2.3336,5.9364,1.0347,-0.7897,2.0786,-115.0622,8.6883,20.2918,-39.7097,78.564,2579.0,5.821,Curveball
3583,FF,92.4,-2.2704,5.9537,-0.9354,1.1327,5.7208,-134.5413,-12.7604,27.6252,-17.7879,93.535,2101.0,6.805,4-Seam Fastball
3584,CH,91.6,-0.9246,6.2548,-1.4809,0.6972,3.9607,-133.3844,-18.7939,27.641,-22.4178,92.581,1796.0,6.754,Changeup
3585,CH,90.7,-0.7609,6.2794,-1.4922,0.9029,6.3504,-131.9428,-18.9583,26.8545,-20.6351,91.435,1884.0,6.652,Changeup
3586,SI,96.7,-0.7183,6.3129,-1.235,0.8011,7.0504,-140.7173,-18.1746,29.9596,-20.5574,97.649,2124.0,6.686,Sinker
3587,FF,98.0,-0.7446,6.4904,-0.4358,1.3598,-1.0115,-142.6331,-5.7242,32.1316,-12.4917,98.17,2185.0,6.328,4-Seam Fastball
3588,SL,89.4,-0.7911,6.4781,0.4116,0.2514,3.6707,-130.2351,3.9757,24.5049,-29.1738,89.451,2077.0,6.027,Slider
3589,SL,88.6,-0.8399,6.4847,0.209,0.2628,0.726,-129.2067,2.2303,21.2173,-29.0926,89.112,2088.0,6.019,Slider
3590,CH,91.1,-0.93,6.2397,-1.5044,0.6143,5.1192,-132.6267,-19.1649,26.3451,-23.8985,92.317,1776.0,6.832,Changeup
3591,FF,98.4,-0.8424,6.3816,-0.6146,1.2368,6.4896,-143.2178,-9.9666,30.9908,-13.5613,99.189,2223.0,6.575,4-Seam Fastball
3592,CU,80.1,-0.6644,6.3217,1.0083,-0.0764,0.3889,-116.6687,9.1189,19.8108,-32.5989,80.186,2148.0,6.079,Curveball
3593,SI,98.0,-0.7751,6.3953,-1.016,0.9783,6.5427,-142.6208,-15.3504,28.4054,-17.4623,98.824,2229.0,6.445,Sinker
