,pitch_type,release_speed,release_pos_x,release_pos_z,pfx_x,pfx_z,vx0,vy0,ax,ay,az,effective_speed,release_spin_rate,release_extension,pitch_name
0,FF,98.1,3.1163,5.127,0.6755,1.5871,-9.7464,-142.6896,11.7013,33.7709,-9.9466,99.099,2290.0,6.934,4-Seam Fastball
1,FF,97.1,3.2454,4.9953,0.7224,1.5031,-8.3091,-141.2453,11.7506,32.2858,-11.1051,98.138,2181.0,6.901,4-Seam Fastball
2,FF,97.5,3.2692,5.1663,0.7172,1.5415,-12.6948,-141.4794,12.7216,31.9882,-9.9751,98.503,2202.0,6.984,4-Seam Fastball
3,FF,96.9,3.2836,5.2488,0.81,1.4746,-10.1365,-140.9064,13.209,31.5035,-11.4723,97.669,2295.0,6.726,4-Seam Fastball
4,FF,96.6,3.1837,5.1339,0.7581,1.6191,-9.7799,-140.5064,12.5056,32.9652,-10.0658,97.527,2343.0,6.918,4-Seam Fastball
5,FF,96.7,3.1295,5.1724,0.7203,1.4856,-8.5308,-140.738,11.6272,31.9678,-11.7665,97.456,2250.0,6.71,4-Seam Fastball
6,FF,97.2,3.5337,4.9894,0.9238,1.5702,-10.8688,-141.2024,14.9232,32.2021,-10.6294,97.516,2404.0,6.565,4-Seam Fastball
7,FF,95.8,3.1464,5.2158,0.6782,1.5553,-12.356,-139.0918,11.7131,30.1396,-10.5121,97.023,2336.0,7.03,4-Seam Fastball
8,FF,94.9,3.1579,5.0946,0.7072,1.6034,-12.9916,-137.7279,12.2258,31.5124,-10.2027,96.149,2170.0,7.219,4-Seam Fastball
9,FF,92.5,-2.5728,5.8064,-0.3734,1.3995,8.3568,-134.4931,-6.2986,28.8714,-14.6596,92.258,2279.0,6.166,4-Seam Fastball
10,FC,88.8,-2.7301,5.7771,0.2316,0.5349,8.0664,-129.1664,1.0812,23.8649,-25.8688,88.527,2517.0,5.889,Cutter
11,FC,89.1,-2.5653,5.7961,0.3185,0.5169,10.6664,-129.3395,1.4417,26.7473,-24.9477,89.933,2562.0,6.914,Cutter
12,FT,93.3,-2.5109,5.8125,-1.2959,0.9031,7.2337,-135.5862,-17.6073,31.1248,-19.5933,93.172,2188.0,6.399,2-Seam Fastball
13,FT,91.5,-2.4974,5.7224,-1.0628,0.8723,4.847,-133.3348,-14.2785,28.7505,-20.3475,93.825,2115.0,7.587,2-Seam Fastball
14,FF,93.3,-2.4382,5.8952,-0.4465,1.4176,9.4836,-135.5176,-7.4486,28.4719,-14.372,92.843,2292.0,6.033,4-Seam Fastball
15,FT,92.2,-2.456,5.8466,-1.2572,0.894,5.5459,-134.1077,-16.4401,30.6941,-20.5424,92.27,2140.0,6.487,2-Seam Fastball
16,FT,93.0,-2.452,5.8115,-1.3937,0.9251,5.9932,-135.1758,-18.415,30.7898,-19.3081,92.9,2203.0,6.394,2-Seam Fastball
17,FT,93.4,-2.5575,5.7098,-1.3761,0.8672,6.4228,-135.7087,-18.519,30.5359,-19.6144,93.576,2270.0,6.539,2-Seam Fastball
18,FT,92.1,-2.4146,5.7933,-0.9791,1.2446,6.9008,-133.8204,-13.4476,28.19,-15.3312,93.016,2260.0,6.861,2-Seam Fastball
19,FF,92.4,-2.4018,5.8272,-0.4464,1.4794,7.6242,-134.3669,-7.0913,28.1237,-12.5345,93.246,2254.0,6.75,4-Seam Fastball
20,FC,88.3,-2.6586,5.8049,0.388,0.5635,7.6909,-128.2655,2.6366,27.077,-24.6006,88.003,2429.0,6.247,Cutter
21,FT,92.8,-2.5271,5.7843,-1.1316,1.0135,5.9369,-134.9997,-15.1623,28.3844,-18.8165,93.163,2209.0,6.444,2-Seam Fastball
22,FF,93.5,-2.4969,5.8408,-0.3036,1.3653,9.8201,-135.6365,-5.7987,27.8599,-13.3721,93.774,2273.0,6.484,4-Seam Fastball
23,FC,89.2,-2.551,5.8562,0.3861,0.4363,6.2538,-129.8368,3.0423,26.947,-26.8195,89.056,2488.0,6.165,Cutter
24,FF,92.9,-2.4393,5.7785,-0.658,1.3309,5.2943,-135.3448,-9.4669,32.0775,-15.2006,93.872,2223.0,6.991,4-Seam Fastball
25,FC,88.8,-2.6086,5.7995,0.1563,0.5197,8.0925,-129.1162,-0.0188,28.026,-26.0482,88.553,2521.0,6.275,Cutter
26,FF,93.3,-2.5995,5.7416,-0.5786,1.2701,7.0669,-135.6567,-8.6659,29.1098,-15.3383,93.38,2156.0,6.338,4-Seam Fastball
27,FT,92.1,-2.6619,5.8237,-0.9176,1.1611,7.3521,-133.9263,-12.6507,28.235,-17.6783,92.411,2248.0,6.46,2-Seam Fastball
28,FC,89.1,-2.5455,5.7878,0.2835,0.489,9.5453,-129.2027,1.1393,27.2252,-25.3064,88.54,2467.0,6.159,Cutter
29,FT,91.8,-2.7347,5.8757,-0.991,1.019,6.4487,-133.5297,-13.077,26.7806,-19.7675,91.601,2258.0,6.038,2-Seam Fastball
30,FC,89.3,-2.6651,5.8798,0.0455,0.4939,8.1786,-129.6491,-1.0702,25.0896,-24.9415,89.168,2526.0,6.167,Cutter
31,SL,86.6,-0.6112,5.7153,0.6745,0.1646,2.9589,-125.9846,6.5576,24.8949,-29.5573,86.432,2566.0,6.134,Slider
32,SL,85.4,-0.4253,5.728,0.6974,0.0445,4.5424,-124.2738,6.2637,24.4106,-31.6211,85.073,2491.0,6.031,Slider
33,FT,91.4,-0.4778,5.7799,-1.0561,1.1188,6.0584,-132.9514,-13.7613,27.792,-18.1888,91.372,2258.0,6.237,2-Seam Fastball
34,FF,91.3,-0.4263,5.8915,-0.1512,1.419,3.3795,-132.8222,-2.4734,27.3791,-14.7628,91.047,2412.0,6.065,4-Seam Fastball
35,SL,85.5,-0.6057,5.775,0.7059,0.2511,2.0972,-124.5118,6.9495,23.1441,-29.3185,85.667,2636.0,6.188,Slider
36,SL,85.5,-0.6286,5.7998,0.6367,0.1086,2.9864,-124.5775,6.0017,24.2391,-30.9981,85.403,2486.0,6.084,Slider
37,SL,86.4,-0.6037,5.7347,0.5437,0.2342,3.6146,-125.7404,5.0721,24.0909,-28.4007,86.507,2573.0,6.227,Slider
38,SL,86.5,-0.6388,5.7602,0.4508,0.3042,3.5637,-125.9268,4.1509,22.7946,-28.2092,86.662,2547.0,6.126,Slider
39,FF,92.3,-0.4315,5.7951,-0.2509,1.4319,4.3123,-134.37,-3.984,27.9583,-13.4148,93.203,2447.0,6.711,4-Seam Fastball
40,FT,92.5,-0.3164,5.7826,-1.0023,1.1884,5.9044,-134.6142,-13.5645,29.2094,-16.7893,93.009,2173.0,6.586,2-Seam Fastball
41,FT,91.8,-0.5341,5.8446,-0.7141,1.0843,1.1825,-133.7598,-8.7711,26.866,-18.8575,91.829,2007.0,6.08,2-Seam Fastball
42,SL,85.5,-0.5302,5.8861,0.3792,0.2552,0.7728,-124.5412,3.795,21.8377,-29.5299,85.54,2514.0,5.977,Slider
43,FF,93.6,-2.5949,5.7916,-0.3762,1.2788,7.6384,-136.1428,-6.2591,27.7999,-15.8284,93.907,2190.0,6.337,4-Seam Fastball
44,FT,94.0,-2.3988,5.7931,-1.2413,0.8326,8.7714,-136.6972,-17.7089,30.4442,-20.6586,94.663,2290.0,6.734,2-Seam Fastball
45,FC,89.4,-2.6253,5.8446,0.2889,0.7182,8.7928,-129.8865,1.3969,27.1637,-23.2975,88.887,2570.0,6.054,Cutter
46,SL,83.4,-2.4901,5.9294,0.5529,0.1739,2.1695,-121.336,4.9476,23.9091,-29.7575,82.795,,5.912,Slider
47,FT,94.2,-2.5771,5.8314,-1.0051,1.1401,6.1741,-137.0877,-14.0093,29.6729,-16.9879,94.328,2266.0,6.313,2-Seam Fastball
48,SL,81.8,-2.4671,5.9756,0.5153,-0.4822,3.9363,-119.0005,4.0638,22.763,-36.9478,81.184,2480.0,5.877,Slider
49,FC,88.6,-2.6054,5.8605,0.1713,0.4044,7.2119,-128.8373,0.4913,25.1164,-26.8694,88.391,2491.0,6.059,Cutter
50,FT,93.9,-2.5023,5.8069,-1.0343,1.0074,7.3133,-136.5955,-14.5114,29.3729,-19.6927,93.957,2193.0,6.287,2-Seam Fastball
51,FC,89.6,-2.4719,5.861,0.1283,0.3421,6.0956,-130.4503,0.3109,24.6895,-27.7684,89.764,2581.0,6.138,Cutter
52,FF,91.8,-0.539,5.7444,-0.9764,1.057,1.475,-133.7899,-12.0607,27.931,-19.4898,92.172,2173.0,6.354,4-Seam Fastball
53,SL,86.9,-0.4982,5.7105,0.5074,0.0582,4.6276,-126.5267,4.4946,25.9186,-30.76,86.997,2507.0,6.328,Slider
54,SL,87.7,-0.4486,5.7495,0.5285,0.3868,3.9581,-127.5725,4.9243,25.8637,-27.295,87.433,2512.0,6.108,Slider
55,FT,91.3,-0.6624,5.7797,-0.84,1.3502,3.557,-132.945,-10.7472,29.7739,-16.0326,91.422,2047.0,6.427,2-Seam Fastball
56,SL,86.5,-0.6279,5.7853,0.7609,0.0798,4.0833,-125.846,7.1127,26.9552,-30.6715,86.036,2461.0,6.128,Slider
57,SI,84.2,3.0468,4.5872,1.7253,-0.1358,-8.1809,-122.1212,18.4178,25.6475,-34.1578,82.57,2039.0,5.534,Sinker
58,SL,74.2,3.2103,4.7263,-0.3756,0.19,-10.561,-107.2916,-0.6629,21.6025,-31.1755,72.301,,5.57,Slider
59,CH,72.8,3.1273,4.7431,1.8429,0.3171,-9.3336,-105.2983,15.007,19.7665,-30.2999,71.169,2213.0,5.603,Changeup
60,CH,71.0,3.2242,4.6747,1.7972,-0.0679,-7.0493,-102.8669,13.8236,19.0272,-33.6177,70.066,2258.0,6.059,Changeup
61,SI,84.6,3.2318,4.6224,1.7039,-0.3392,-5.4873,-122.7062,17.5949,25.4374,-36.2255,82.46,1998.0,5.147,Sinker
62,SI,83.0,3.1929,4.722,1.6984,-0.1583,-6.0148,-120.4974,17.0969,23.9856,-34.4998,81.198,1966.0,5.249,Sinker
63,SL,85.0,-2.113,5.5845,0.2091,-0.085,2.3053,-123.6143,1.6269,24.9505,-33.2868,83.977,2263.0,5.678,Slider
64,CU,74.6,-1.9238,5.7329,1.1224,-1.1903,-1.1224,-108.3926,8.7861,21.7339,-41.7762,73.285,2585.0,5.718,Curveball
65,SL,85.6,-2.0935,5.5729,0.3662,0.0357,2.8688,-124.7433,3.2632,23.6571,-31.5078,85.653,2084.0,6.115,Slider
66,SL,84.9,-2.1192,5.5128,0.4568,-0.0953,7.2249,-123.3083,3.1362,24.5696,-32.3828,84.036,2164.0,5.832,Slider
67,FF,96.2,-2.0065,5.5069,-0.864,1.4561,6.4212,-139.8559,-12.6477,32.6994,-13.6068,95.367,2365.0,5.941,4-Seam Fastball
68,FF,95.5,-1.9633,5.5712,-1.0888,1.3708,8.5268,-138.568,-15.7756,31.9531,-13.5875,94.565,2307.0,5.976,4-Seam Fastball
69,FF,94.1,-1.9156,5.5927,-0.676,1.3034,9.3727,-136.7001,-10.4346,29.0177,-15.2704,93.891,2286.0,6.176,4-Seam Fastball
70,FF,93.4,-1.7635,5.5901,-0.866,1.4519,8.288,-135.628,-12.3887,29.5885,-13.2372,92.831,2287.0,6.061,4-Seam Fastball
71,FF,93.8,-1.8614,5.5392,-0.8379,1.4607,7.595,-136.3374,-11.9883,28.5349,-13.0643,93.579,2298.0,6.115,4-Seam Fastball
72,FF,94.1,-1.8759,5.5516,-0.7538,1.5214,5.73,-136.7946,-10.5177,29.668,-12.9477,93.143,2294.0,5.739,4-Seam Fastball
73,SL,83.2,-2.0005,5.6524,0.458,-0.0754,1.4301,-121.0802,4.1055,23.6512,-33.0172,82.142,2099.0,5.574,Slider
74,SL,85.0,-1.9659,5.6514,0.3625,-0.1777,7.0244,-123.413,2.1988,24.9162,-33.1469,83.866,2231.0,5.699,Slider
75,FF,94.3,-1.919,5.5757,-0.7726,1.3156,6.3983,-136.94,-11.0917,31.299,-14.3466,93.756,2301.0,6.162,4-Seam Fastball
76,SL,85.5,-1.95,5.686,0.443,0.0356,5.2872,-124.4245,3.5033,23.7937,-31.7139,84.77,2180.0,5.704,Slider
77,SL,86.2,-1.9668,5.5578,0.2762,-0.0979,3.6291,-125.4689,2.1603,25.6437,-32.7158,86.093,2217.0,6.229,Slider
78,SL,85.0,-2.1018,5.69,0.4072,0.0974,6.1107,-123.6609,2.9049,24.1531,-30.9996,84.242,2138.0,5.758,Slider
79,FF,93.1,-2.0338,5.5067,-0.7235,1.3323,3.8649,-135.513,-9.7534,30.2441,-15.5624,93.111,2223.0,6.328,4-Seam Fastball
80,FF,91.5,-1.7221,5.8145,-0.5243,1.5235,8.4616,-132.8503,-7.9662,28.2648,-13.4409,91.08,2246.0,6.142,4-Seam Fastball
81,FF,94.4,-1.9507,5.5861,-0.9854,1.3312,5.145,-137.349,-13.6071,31.1563,-14.5196,94.375,2232.0,6.336,4-Seam Fastball
82,FT,95.1,-1.7788,5.7305,-1.1154,1.1874,5.2648,-138.4499,-15.6297,30.1421,-15.9557,95.746,2271.0,6.58,2-Seam Fastball
83,FS,85.9,-0.4272,5.9996,-0.7872,0.8954,2.561,-124.8766,-8.7936,24.0044,-21.0432,86.286,1386.0,6.487,Split Finger
84,FS,85.9,-0.604,5.9402,-1.0401,0.8299,1.7102,-125.0188,-11.0742,23.9457,-23.3849,85.367,1279.0,5.823,Split Finger
85,FT,95.1,-0.9499,5.6145,-1.49,0.9662,5.5796,-138.1764,-20.1563,31.844,-18.7675,94.503,2223.0,6.102,2-Seam Fastball
86,FS,83.6,-0.6965,5.9384,-1.0307,0.8504,0.8016,-121.7722,-10.339,23.2612,-24.0385,83.498,996.0,6.106,Split Finger
87,FS,83.9,-1.515,5.9426,-0.7799,0.7032,3.819,-122.1715,-8.4694,23.6418,-25.1125,83.615,1037.0,6.023,Split Finger
88,FS,84.4,-1.3633,5.9189,-0.5761,0.1615,1.9033,-122.8194,-6.1144,25.7289,-30.7914,83.626,773.0,5.907,Split Finger
89,FS,86.8,-1.3418,5.9892,-1.15,0.8796,4.5854,-126.0864,-12.9889,25.5664,-21.5619,85.987,1155.0,5.859,Split Finger
90,FT,95.5,-1.6959,5.7067,-1.1295,1.1919,7.1454,-138.7394,-16.0455,30.4421,-15.642,95.092,2232.0,6.1,2-Seam Fastball
91,FS,86.2,-1.6086,5.9885,-0.778,0.9274,4.3731,-125.0917,-8.8612,25.123,-21.1105,85.046,1110.0,5.683,Split Finger
92,SL,82.5,-1.6444,5.9665,0.4903,-0.8972,4.4101,-120.057,3.8593,22.1331,-39.8555,81.985,2547.0,5.832,Slider
93,FT,95.6,-1.8808,5.6759,-1.3861,1.0776,7.576,-139.0534,-19.714,31.51,-17.7251,95.718,2312.0,6.405,2-Seam Fastball
94,SL,81.3,-1.7041,5.956,0.5659,-0.8475,6.1718,-118.2142,4.0741,22.0205,-39.8052,80.682,2538.0,5.857,Slider
95,SL,84.5,-2.0095,5.6781,0.3117,0.1787,5.3867,-122.926,2.0879,23.0273,-30.2129,83.71,2285.0,5.661,Slider
96,SL,83.4,-1.9811,5.7445,0.5208,-0.064,4.6203,-121.498,4.2899,22.6673,-32.4461,83.552,2276.0,6.22,Slider
97,FF,94.6,-1.834,5.531,-1.0522,1.4245,3.9229,-137.6019,-14.1159,31.2128,-12.9423,94.152,2333.0,6.099,4-Seam Fastball
98,FF,95.7,-1.8064,5.558,-1.0348,1.319,9.0016,-138.9673,-15.3331,31.0101,-14.0669,95.31,2374.0,6.17,4-Seam Fastball
99,SL,85.5,-2.0285,5.6831,0.4869,-0.1052,6.9511,-124.0884,3.4517,25.5098,-32.1535,84.037,2395.0,5.537,Slider
100,SL,85.3,-2.0002,5.66,0.4524,-0.0983,6.8058,-123.7962,3.0345,26.9991,-32.1114,83.883,2165.0,5.714,Slider
101,SL,85.4,-2.1173,5.638,0.2197,0.0686,6.0221,-124.03,1.0933,23.5787,-30.3585,84.778,2190.0,5.881,Slider
102,CU,76.4,-1.8536,5.8352,0.7945,-1.0799,4.2145,-111.039,5.5726,20.9444,-40.3117,75.137,2540.0,5.55,Curveball
103,FF,93.5,-1.7676,5.7473,-0.7279,1.4958,7.3604,-135.868,-10.5571,30.4509,-13.7112,92.899,2376.0,6.061,4-Seam Fastball
104,SL,85.0,-1.9462,6.1346,0.2931,0.1885,1.8799,-123.8161,2.6301,24.0106,-30.56,84.899,2539.0,6.102,Slider
105,FF,92.2,-1.5829,6.2657,-0.3483,0.8973,6.4302,-134.2163,-5.6076,27.5497,-19.9373,93.251,2173.0,6.775,4-Seam Fastball
106,SL,84.3,-1.9265,6.16,0.1812,-0.2832,4.6624,-122.554,0.8781,24.5121,-34.179,83.965,2471.0,6.148,Slider
107,SL,85.5,-1.9199,6.1871,0.2593,-0.4159,6.8916,-124.235,1.1089,27.1793,-35.7931,84.323,2481.0,5.809,Slider
108,CU,80.4,-1.7944,6.1733,0.7498,-0.5662,0.5839,-117.2203,6.8534,21.5983,-37.3231,80.953,2159.0,6.504,Curveball
109,SI,93.4,-1.5145,6.3583,-1.2792,0.8563,7.3565,-135.5808,-17.1899,28.693,-20.3741,92.849,2232.0,6.025,Sinker
110,SL,85.3,-1.8543,6.2089,0.2951,-0.3912,3.6695,-124.0588,2.1736,27.2862,-35.7802,84.365,2513.0,5.933,Slider
111,FF,93.5,-1.5171,6.2838,-0.2286,1.0833,4.7839,-136.3174,-3.8814,27.6302,-17.801,94.871,2196.0,6.809,4-Seam Fastball
112,FF,92.8,-1.614,6.2802,-0.333,1.1015,4.5104,-135.0303,-4.9929,26.822,-17.4612,93.207,2111.0,6.337,4-Seam Fastball
113,FF,92.6,-1.6649,6.2721,-0.2062,0.8871,6.0991,-134.9283,-3.7647,25.9047,-20.4566,94.295,2043.0,6.946,4-Seam Fastball
114,SL,85.3,-1.8965,6.1053,0.304,-0.1406,3.054,-124.0978,2.5055,23.9138,-32.877,84.718,2362.0,5.839,Slider
115,SL,88.1,-1.9064,6.0899,0.2875,0.3042,5.4986,-128.0428,2.0057,26.4832,-27.7383,87.812,2307.0,6.18,Slider
116,SL,86.4,-1.8452,6.1834,0.1317,-0.2975,6.6158,-125.5902,0.0706,24.9213,-34.2915,86.09,2395.0,6.105,Slider
117,FF,92.0,-1.5945,6.2719,-0.258,1.0092,2.9766,-134.1164,-3.7287,26.3977,-19.2837,92.739,2113.0,6.429,4-Seam Fastball
118,SL,87.2,-1.896,6.1258,0.2572,0.009,4.7307,-126.8972,1.8679,24.4955,-31.2969,87.365,2438.0,6.264,Slider
119,FF,93.0,-1.7181,6.3422,-0.3176,1.173,6.682,-135.3812,-5.4154,29.7154,-17.0287,93.685,2118.0,6.684,4-Seam Fastball
120,SL,88.7,-1.4646,5.9068,0.3259,0.4912,6.4674,-129.0616,2.2816,26.5638,-26.2893,88.427,2191.0,6.099,Slider
121,CH,88.6,-1.5185,5.8953,-1.3823,0.6658,9.7648,-128.5716,-17.4944,25.943,-23.2701,89.05,1867.0,6.659,Changeup
122,FT,94.2,-1.5395,5.9401,-1.3187,0.9938,3.4226,-137.0821,-17.4119,31.5787,-18.7182,94.309,2002.0,6.446,2-Seam Fastball
123,CU,82.1,-1.5273,5.9554,0.2103,-0.0201,4.8041,-119.4776,0.9806,25.1033,-32.4237,81.67,2366.0,6.2,Curveball
124,FT,92.6,-1.7036,5.8829,-1.4,0.6933,1.0844,-134.9323,-17.3062,30.8417,-23.4212,92.712,1800.0,6.394,2-Seam Fastball
125,SL,89.1,-1.6608,5.8842,0.2705,0.4432,4.0012,-129.8604,2.3226,25.2039,-26.5889,89.95,2200.0,6.56,Slider
126,CU,80.5,-1.4336,6.1133,0.1551,0.091,2.0185,-117.1603,1.0006,23.0136,-31.7585,79.682,2212.0,5.802,Curveball
127,FF,96.9,-1.4647,5.944,-0.7392,1.2621,6.9471,-140.8296,-11.3935,31.372,-14.0356,96.951,2115.0,6.344,4-Seam Fastball
128,FF,93.8,-1.5305,5.9841,-0.7688,1.3769,4.3517,-136.4911,-10.6544,29.6345,-13.8006,94.427,2153.0,6.626,4-Seam Fastball
129,FT,92.2,-1.5673,5.9111,-1.3282,0.8872,3.3872,-134.3694,-17.0457,27.513,-20.3459,93.249,2017.0,6.704,2-Seam Fastball
130,FT,93.3,-1.6146,6.0088,-1.381,0.7415,3.0137,-135.9064,-17.8453,28.3898,-22.5194,93.812,1981.0,6.429,2-Seam Fastball
131,SL,88.1,-1.5788,5.8708,0.2076,0.5652,5.7762,-128.1825,1.2193,23.7555,-25.005,88.24,2084.0,6.154,Slider
132,FT,92.3,-1.4636,6.1019,-1.3727,0.8906,3.4402,-134.2794,-17.0894,27.3347,-20.6863,91.772,1986.0,5.85,2-Seam Fastball
133,SL,87.8,-1.6993,5.9294,0.3569,0.3413,3.7318,-127.7676,3.1534,24.6331,-27.6098,87.496,2218.0,5.951,Slider
134,CU,78.7,-1.4797,6.1266,0.2378,-0.0179,2.4877,-114.5588,1.5793,22.0123,-32.2744,78.1,2163.0,5.938,Curveball
135,CU,79.8,-1.6079,6.052,0.284,0.0405,0.6219,-116.0677,2.4104,22.576,-32.5346,79.271,2145.0,6.035,Curveball
136,FF,93.5,-1.6031,6.3013,-0.3624,1.0097,5.1041,-136.094,-5.609,29.2806,-18.8463,93.723,2127.0,6.362,4-Seam Fastball
137,SI,92.2,-1.7439,6.1796,-1.0917,0.589,7.0156,-134.062,-14.7058,27.4139,-23.9251,92.644,2321.0,6.475,Sinker
138,SL,87.4,-1.902,6.1384,0.1562,-0.1707,5.2565,-126.9756,0.5256,27.6753,-32.891,86.868,2391.0,6.187,Slider
139,SI,92.5,-1.6622,6.2126,-1.392,0.6613,5.8646,-134.4598,-18.0173,27.6002,-23.1017,92.322,2168.0,6.122,Sinker
140,SI,92.0,-1.7029,6.177,-1.2171,0.4743,5.8695,-134.0325,-16.0369,26.4755,-25.8767,92.914,2257.0,6.575,Sinker
141,SI,92.5,-1.609,6.0855,-1.2334,0.6737,8.0325,-134.4636,-16.9781,27.2877,-22.4472,93.769,2137.0,6.948,Sinker
142,SI,93.0,-1.6322,6.2085,-1.254,0.8003,5.0222,-135.3549,-16.395,28.0543,-22.26,92.953,2192.0,6.138,Sinker
143,CU,80.8,-1.7721,6.1016,0.5105,-0.7426,5.048,-117.3574,3.5922,23.3673,-37.8247,79.663,2253.0,5.723,Curveball
144,SL,86.8,-1.8732,6.0678,0.1811,-0.0408,4.4801,-126.2994,1.0394,24.8003,-32.3804,86.466,2375.0,5.999,Slider
145,SI,92.5,-1.5872,6.1937,-1.3234,0.5048,5.4151,-134.5709,-17.0503,28.5506,-25.4203,92.06,2198.0,5.988,Sinker
146,SI,92.2,-1.797,6.1925,-0.9727,0.4346,5.7803,-134.2881,-13.2428,26.9043,-26.1602,93.698,2127.0,6.954,Sinker
147,SI,91.7,-1.7788,6.2646,-1.0499,0.2789,6.9313,-133.3868,-13.8515,26.9308,-28.9436,91.481,2238.0,6.041,Sinker
148,SL,86.3,-1.9258,6.0296,-0.0014,0.2105,6.7096,-125.3927,-1.5202,28.1315,-28.6466,85.911,2289.0,6.371,Slider
149,SI,91.6,-1.6818,6.3002,-1.1576,0.6047,4.594,-133.373,-14.7221,25.8129,-24.7115,91.847,1981.0,6.181,Sinker
150,FT,95.1,-1.2917,5.9452,-1.3077,0.9037,5.9815,-138.3794,-18.1245,28.8269,-19.3424,95.455,2028.0,6.348,2-Seam Fastball
151,FF,96.2,-1.3999,5.996,-0.8011,1.1828,5.2072,-139.9004,-11.511,29.5072,-15.7153,95.759,2103.0,5.923,4-Seam Fastball
152,FF,94.7,-1.3569,5.9582,-0.7213,1.1893,3.371,-137.9736,-9.9869,29.6677,-16.2106,95.206,2214.0,6.439,4-Seam Fastball
153,FF,96.0,-1.4164,6.0142,-0.8113,1.281,3.1545,-139.8873,-11.3752,30.4535,-14.6914,96.43,2261.0,6.382,4-Seam Fastball
154,FF,94.8,-1.4688,6.0259,-0.6504,1.4156,6.0162,-137.8711,-9.5287,29.207,-13.1986,94.633,2146.0,6.117,4-Seam Fastball
155,FT,94.9,-1.5126,5.8953,-1.2549,0.9117,4.3055,-138.065,-17.1003,30.9872,-19.1663,95.26,2073.0,6.528,2-Seam Fastball
156,FF,96.5,-1.5244,5.9535,-0.7077,1.3586,7.709,-140.2965,-10.9882,31.7237,-14.0653,95.99,2198.0,6.045,4-Seam Fastball
157,FT,94.3,-1.5038,5.9342,-1.0889,1.194,5.9402,-137.2627,-15.2693,30.4843,-15.814,95.107,1992.0,6.749,2-Seam Fastball
158,FF,94.9,-1.4764,5.8595,-0.8022,1.3395,8.5067,-137.9814,-12.1372,30.8444,-14.4193,94.886,2188.0,6.337,4-Seam Fastball
159,FF,95.0,-1.4844,5.9855,-0.7072,1.1101,5.9427,-138.1443,-10.2615,29.1181,-17.1488,94.811,1931.0,6.097,4-Seam Fastball
160,FF,94.5,-1.3608,6.0122,-0.8072,1.104,7.6203,-137.4909,-11.9142,27.966,-17.3302,95.226,2019.0,6.534,4-Seam Fastball
161,FF,95.7,-1.4433,5.9526,-0.8901,1.2888,6.3231,-139.247,-13.0104,29.7165,-14.1896,96.174,2175.0,6.455,4-Seam Fastball
162,SL,89.8,-1.4868,5.8377,0.1625,0.5444,5.7829,-130.5317,0.6076,28.085,-24.6383,89.673,2270.0,6.321,Slider
163,FF,95.3,-1.5169,5.9165,-0.9238,1.2062,4.7131,-138.7831,-13.1494,32.909,-15.4758,95.879,2255.0,6.715,4-Seam Fastball
164,FF,96.3,-1.4542,5.9957,-0.7715,1.4046,5.356,-140.0936,-11.2434,32.667,-13.5027,95.568,2180.0,5.954,4-Seam Fastball
165,SL,89.8,-1.5244,5.8982,0.2594,0.3236,4.5311,-130.6663,1.9482,28.9814,-27.9568,89.615,2268.0,6.297,Slider
166,FF,95.5,-1.4458,5.9841,-0.6842,1.4756,6.6928,-138.8929,-10.3699,32.6698,-12.2312,95.224,2207.0,6.273,4-Seam Fastball
167,FF,95.8,-1.4353,6.0535,-0.5498,1.2931,5.7152,-139.4065,-8.4989,33.3543,-15.1136,95.647,2017.0,6.346,4-Seam Fastball
168,FF,95.2,-1.3618,5.9782,-0.842,1.4078,5.6805,-138.5332,-12.204,31.9026,-12.9611,95.563,2089.0,6.568,4-Seam Fastball
169,SL,90.3,-1.5086,5.9459,0.2744,0.4296,7.3302,-131.4712,1.759,26.0606,-26.4737,90.91,2185.0,6.484,Slider
170,FT,95.9,-1.4381,5.9439,-1.4082,0.8773,5.8307,-139.5514,-19.8263,30.5032,-19.7861,96.44,2062.0,6.533,2-Seam Fastball
171,SL,89.8,-1.6946,5.8827,0.365,0.6338,-0.0827,-130.6116,4.1691,26.4323,-23.433,89.586,2178.0,6.095,Slider
172,FF,96.2,-1.5348,6.1,-0.7717,1.4286,7.3717,-139.8492,-11.6923,31.7156,-13.2156,95.701,2199.0,6.068,4-Seam Fastball
173,CH,85.8,-1.4291,5.9163,-1.3346,0.386,6.4871,-124.8588,-15.3755,24.1105,-27.5525,86.44,1614.0,6.603,Changeup
174,FF,96.7,-1.4956,5.9078,-0.6946,1.462,5.4647,-140.5298,-10.4535,33.9687,-11.3176,96.291,2213.0,6.278,4-Seam Fastball
175,FF,95.2,-1.565,5.9108,-1.1703,1.3816,1.8553,-138.3058,-15.2405,32.2831,-12.754,94.451,2061.0,6.047,4-Seam Fastball
176,FF,95.3,-1.6664,5.8618,-0.7261,1.4136,6.2659,-138.5168,-10.768,32.8764,-12.6044,94.947,2181.0,6.29,4-Seam Fastball
177,SL,89.2,-1.6171,5.8053,0.1322,0.272,4.9243,-129.7836,0.4808,26.6827,-28.368,89.26,2165.0,6.294,Slider
178,SL,89.2,-1.6525,5.891,0.2069,0.5529,3.2046,-129.6938,1.6478,26.8389,-24.7214,88.757,2217.0,6.035,Slider
